time	V(n001)	V(n002)	V(n003)
0.000000000000000e+000	1.000000e+000	3.151591e-001	1.961017e-007
5.714285781063416e-008	1.000571e+000	3.151591e-001	1.961017e-007
1.142857156212683e-007	1.001143e+000	3.151592e-001	1.961017e-007
1.714285734319025e-007	1.001714e+000	3.151593e-001	1.961017e-007
2.285714312425366e-007	1.002286e+000	3.151595e-001	1.961017e-007
2.857142890531708e-007	1.002857e+000	3.151598e-001	1.961017e-007
3.428571468638050e-007	1.003429e+000	3.151601e-001	1.961017e-007
4.000000046744390e-007	1.004000e+000	3.151604e-001	1.961017e-007
8.000000093488779e-007	1.008000e+000	3.151649e-001	1.961017e-007
1.600000018697756e-006	1.015999e+000	3.151874e-001	1.961017e-007
3.200000037395512e-006	1.031995e+000	3.153413e-001	1.961019e-007
6.400000074791024e-006	1.063956e+000	3.172700e-001	1.961078e-007
1.280000014958205e-005	1.127651e+000	3.326238e-001	1.962663e-007
2.098618024730582e-005	1.208325e+000	3.777801e-001	1.997649e-007
2.919504740359901e-005	1.287821e+000	4.455828e-001	2.153232e-007
3.251697539930585e-005	1.319470e+000	4.768964e-001	2.377841e-007
3.471512480679701e-005	1.340220e+000	4.979497e-001	2.753254e-007
3.640061026231092e-005	1.356021e+000	5.139645e-001	3.338863e-007
3.800321440123262e-005	1.370950e+000	5.290946e-001	4.371333e-007
3.959480905666689e-005	1.385683e+000	5.440311e-001	6.204915e-007
4.117243369429022e-005	1.400190e+000	5.587453e-001	9.478719e-007
4.286181054691429e-005	1.415614e+000	5.744015e-001	1.569230e-006
4.442141473980020e-005	1.429748e+000	5.887592e-001	2.587471e-006
4.602888250206735e-005	1.444207e+000	6.034559e-001	4.421041e-006
4.756368527369998e-005	1.457905e+000	6.173895e-001	7.459920e-006
4.913667048255923e-005	1.471831e+000	6.315652e-001	1.281559e-005
5.067637467141264e-005	1.485350e+000	6.453350e-001	2.180514e-005
5.224846988332192e-005	1.499035e+000	6.592813e-001	3.747327e-005
5.380904763627025e-005	1.512497e+000	6.730069e-001	6.399309e-005
5.539819446723602e-005	1.526078e+000	6.868545e-001	1.099159e-004
5.698991717768582e-005	1.539547e+000	7.005835e-001	1.880386e-004
5.861091687751983e-005	1.553124e+000	7.144037e-001	3.227772e-004
6.024891059508036e-005	1.566695e+000	7.281799e-001	5.526576e-004
6.192716165862459e-005	1.580442e+000	7.420604e-001	9.481318e-004
6.364974682036462e-005	1.594382e+000	7.560046e-001	1.624246e-003
6.545260627611743e-005	1.608783e+000	7.701883e-001	2.787784e-003
6.737791133919353e-005	1.623944e+000	7.847689e-001	4.792869e-003
6.952893287516645e-005	1.640608e+000	8.002736e-001	8.320499e-003
7.211720973902921e-005	1.660265e+000	8.178896e-001	1.480180e-002
7.569126284649779e-005	1.686680e+000	8.410423e-001	2.774447e-002
8.105995114377382e-005	1.724700e+000	8.749984e-001	5.317923e-002
8.699738586076068e-005	1.764312e+000	9.122680e-001	8.629481e-002
9.377686954417293e-005	1.806240e+000	9.538429e-001	1.268543e-001
1.024547466390116e-004	1.854479e+000	1.003854e+000	1.782046e-001
1.122203716390116e-004	1.901058e+000	1.054450e+000	2.320354e-001
1.219859966390116e-004	1.939051e+000	1.097914e+000	2.798725e-001
1.317516216390116e-004	1.968096e+000	1.133545e+000	3.207765e-001
1.415172466390116e-004	1.987915e+000	1.161199e+000	3.545873e-001
1.512828716390116e-004	1.998320e+000	1.181035e+000	3.815449e-001
1.610484966390116e-004	1.999213e+000	1.193537e+000	4.021904e-001
1.708141216390116e-004	1.990583e+000	1.199595e+000	4.173358e-001
1.805797466390116e-004	1.972514e+000	1.200584e+000	4.280103e-001
1.903453716390116e-004	1.945178e+000	1.198248e+000	4.353308e-001
2.001109966390116e-004	1.908835e+000	1.194328e+000	4.403282e-001
2.098766216390116e-004	1.863832e+000	1.190102e+000	4.438134e-001
2.196422466390116e-004	1.810597e+000	1.186188e+000	4.463402e-001
2.294078716390116e-004	1.749637e+000	1.182723e+000	4.482492e-001
2.391734966390117e-004	1.681535e+000	1.179645e+000	4.497406e-001
2.489391216390116e-004	1.606937e+000	1.176861e+000	4.509341e-001
2.587047466390116e-004	1.526557e+000	1.174302e+000	4.519045e-001
2.684703716390117e-004	1.441158e+000	1.171918e+000	4.527015e-001
2.782359966390117e-004	1.351556e+000	1.169674e+000	4.533599e-001
2.880016216390117e-004	1.258604e+000	1.167544e+000	4.539050e-001
2.977672466390117e-004	1.163187e+000	1.165511e+000	4.543556e-001
3.075328716390117e-004	1.066215e+000	1.163559e+000	4.547264e-001
3.172984966390117e-004	9.686128e-001	1.161677e+000	4.550289e-001
3.270641216390117e-004	8.713093e-001	1.159856e+000	4.552721e-001
3.368297466390117e-004	7.752321e-001	1.158088e+000	4.554637e-001
3.465953716390117e-004	6.812968e-001	1.156367e+000	4.556097e-001
3.563609966390117e-004	5.903984e-001	1.154688e+000	4.557154e-001
3.661266216390117e-004	5.034032e-001	1.153046e+000	4.557849e-001
3.758922466390117e-004	4.211401e-001	1.151438e+000	4.558221e-001
3.856578716390118e-004	3.443931e-001	1.149862e+000	4.558301e-001
3.954234966390118e-004	2.738935e-001	1.148313e+000	4.558116e-001
4.051891216390118e-004	2.103131e-001	1.146790e+000	4.557690e-001
4.149547466390118e-004	1.542577e-001	1.145290e+000	4.557045e-001
4.247203716390118e-004	1.062615e-001	1.143812e+000	4.556197e-001
4.344859966390118e-004	6.678195e-002	1.142354e+000	4.555164e-001
4.442516216390118e-004	3.619517e-002	1.140915e+000	4.553960e-001
4.540172466390118e-004	1.479265e-002	1.139493e+000	4.552598e-001
4.637828716390118e-004	2.778329e-003	1.138087e+000	4.551090e-001
4.735484966390118e-004	2.667004e-004	1.136697e+000	4.549446e-001
4.833141216390118e-004	7.281697e-003	1.135320e+000	4.547675e-001
4.930797466390118e-004	2.375647e-002	1.133957e+000	4.545787e-001
5.028453716390118e-004	4.953403e-002	1.132606e+000	4.543788e-001
5.126109966390118e-004	8.436874e-002	1.131267e+000	4.541686e-001
5.223766216390118e-004	1.279287e-001	1.129940e+000	4.539487e-001
5.321422466390118e-004	1.797987e-001	1.128623e+000	4.537198e-001
5.419078716390118e-004	2.394845e-001	1.127316e+000	4.534823e-001
5.516734966390119e-004	3.064175e-001	1.126018e+000	4.532368e-001
5.614391216390119e-004	3.799597e-001	1.124730e+000	4.529838e-001
5.712047466390119e-004	4.594103e-001	1.123450e+000	4.527236e-001
5.809703716390119e-004	5.440124e-001	1.122178e+000	4.524567e-001
5.907359966390119e-004	6.329596e-001	1.120914e+000	4.521835e-001
6.102672466390119e-004	8.204659e-001	1.118409e+000	4.516193e-001
6.395641216390119e-004	1.112219e+000	1.114702e+000	4.507331e-001
