time	V(n001)	V(n002)
0.000000000000000e+000	1.000000e+000	3.151588e-001
6.013839307083153e-006	1.060573e+000	3.716411e-001
1.202767861416631e-005	1.120414e+000	4.277245e-001
1.804151792124946e-005	1.179524e+000	4.834092e-001
2.405535722833261e-005	1.237901e+000	5.386951e-001
3.006919653541576e-005	1.295548e+000	5.935822e-001
3.608303584249892e-005	1.352462e+000	6.480706e-001
4.209687514958205e-005	1.408645e+000	7.021602e-001
5.186250014958206e-005	1.495686e+000	7.860441e-001
6.162812514958205e-005	1.578005e+000	8.656459e-001
7.139375014958205e-005	1.654815e+000	9.401181e-001
8.115937514958204e-005	1.725385e+000	1.008683e+000
9.092500014958204e-005	1.789043e+000	1.070634e+000
1.006906251495820e-004	1.845182e+000	1.125339e+000
1.104562501495820e-004	1.893268e+000	1.172244e+000
1.202218751495820e-004	1.932841e+000	1.210878e+000
1.299875001495820e-004	1.963525e+000	1.240851e+000
1.397531251495820e-004	1.985027e+000	1.261864e+000
1.495187501495820e-004	1.997143e+000	1.273707e+000
1.592843751495820e-004	1.999757e+000	1.276263e+000
1.690500001495821e-004	1.992844e+000	1.269505e+000
1.788156251495821e-004	1.976470e+000	1.253501e+000
1.885812501495821e-004	1.950791e+000	1.228410e+000
1.983468751495821e-004	1.916052e+000	1.194485e+000
2.081125001495821e-004	1.872584e+000	1.152063e+000
2.178781251495821e-004	1.820801e+000	1.101573e+000
2.276437501495821e-004	1.761196e+000	1.043523e+000
2.374093751495821e-004	1.694337e+000	9.785029e-001
2.471750001495821e-004	1.620863e+000	9.071794e-001
2.569406251495821e-004	1.541471e+000	8.302913e-001
2.667062501495821e-004	1.456921e+000	7.486484e-001
2.862375001495821e-004	1.275604e+000	5.746945e-001
3.155343751495822e-004	9.862493e-001	3.030031e-001
3.253000001495822e-004	8.888230e-001	2.151819e-001
3.350656251495822e-004	7.924560e-001	1.330343e-001
3.448312501495822e-004	6.980668e-001	6.384184e-002
3.545968751495822e-004	6.065547e-001	1.959551e-002
3.643625001495822e-004	5.187919e-001	2.826774e-003
3.741281251495822e-004	4.356146e-001	1.364847e-004
3.838937501495822e-004	3.578154e-001	5.677075e-006
3.936593751495822e-004	2.861356e-001	2.880712e-007
4.034250001495822e-004	2.212584e-001	1.881400e-008
4.131906251495822e-004	1.638020e-001	1.716212e-009
4.229562501495823e-004	1.143138e-001	2.953254e-010
4.327218751495823e-004	7.326552e-002	1.037306e-010
